data_apuracao,dezenas_sorteadas,numero_concurso
11/03/1996,"[41, 5, 4, 52, 30, 33]",1
18/03/1996,"[9, 39, 37, 49, 43, 41]",2
25/03/1996,"[36, 30, 10, 11, 29, 47]",3
01/04/1996,"[6, 59, 42, 27, 1, 5]",4
08/04/1996,"[1, 19, 46, 6, 16, 2]",5
15/04/1996,"[19, 40, 7, 13, 22, 47]",6
22/04/1996,"[56, 38, 21, 20, 3, 5]",7
29/04/1996,"[53, 17, 38, 4, 47, 37]",8
06/05/1996,"[55, 43, 56, 54, 8, 60]",9
13/05/1996,"[25, 4, 18, 57, 21, 38]",10
20/05/1996,"[25, 15, 58, 37, 59, 38]",11
27/05/1996,"[20, 27, 43, 16, 19, 4]",12
03/06/1996,"[47, 32, 50, 54, 18, 56]",13
10/06/1996,"[16, 2, 27, 47, 23, 53]",14
17/06/1996,"[60, 12, 33, 52, 35, 51]",15
24/06/1996,"[60, 58, 49, 32, 20, 34]",16
01/07/1996,"[10, 20, 6, 19, 51, 13]",17
08/07/1996,"[37, 36, 56, 27, 42, 23]",18
15/07/1996,"[5, 25, 12, 10, 60, 24]",19
22/07/1996,"[25, 28, 30, 33, 51, 11]",20
29/07/1996,"[49, 46, 6, 53, 33, 36]",21
05/08/1996,"[9, 38, 56, 1, 31, 46]",22
12/08/1996,"[17, 52, 51, 59, 39, 37]",23
19/08/1996,"[1, 8, 14, 28, 33, 43]",24
25/08/1996,"[56, 50, 55, 54, 24, 43]",25
01/09/1996,"[50, 53, 57, 10, 58, 22]",26
08/09/1996,"[44, 33, 13, 51, 17, 20]",27
15/09/1996,"[60, 6, 22, 3, 24, 54]",28
22/09/1996,"[14, 56, 58, 8, 43, 3]",29
29/09/1996,"[38, 50, 7, 29, 15, 14]",30
06/10/1996,"[56, 19, 28, 48, 17, 45]",31
13/10/1996,"[43, 33, 14, 36, 5, 44]",32
20/10/1996,"[5, 33, 49, 17, 42, 39]",33
27/10/1996,"[15, 13, 57, 53, 40, 17]",34
03/11/1996,"[21, 57, 16, 23, 54, 4]",35
10/11/1996,"[13, 3, 51, 17, 29, 25]",36
17/11/1996,"[22, 6, 7, 52, 38, 60]",37
24/11/1996,"[55, 42, 10, 43, 45, 54]",38
01/12/1996,"[16, 37, 45, 52, 56, 12]",39
08/12/1996,"[3, 12, 46, 5, 47, 8]",40
15/12/1996,"[38, 26, 35, 39, 12, 47]",41
22/12/1996,"[24, 36, 19, 33, 7, 11]",42
29/12/1996,"[2, 58, 25, 6, 26, 17]",43
05/01/1997,"[47, 38, 18, 14, 29, 44]",44
12/01/1997,"[30, 7, 37, 55, 44, 53]",45
19/01/1997,"[32, 46, 1, 60, 24, 23]",46
26/01/1997,"[35, 17, 3, 48, 25, 56]",47
02/02/1997,"[47, 5, 34, 28, 2, 50]",48
09/02/1997,"[33, 7, 43, 35, 13, 55]",49
16/02/1997,"[57, 44, 21, 16, 58, 6]",50
23/02/1997,"[23, 24, 42, 25, 17, 47]",51
02/03/1997,"[58, 15, 59, 30, 38, 46]",52
09/03/1997,"[42, 13, 3, 46, 38, 16]",53
16/03/1997,"[5, 21, 9, 56, 18, 36]",54
23/03/1997,"[29, 2, 14, 38, 23, 52]",55
30/03/1997,"[51, 35, 59, 7, 20, 2]",56
06/04/1997,"[27, 17, 16, 34, 7, 59]",57
13/04/1997,"[30, 49, 27, 37, 12, 44]",58
20/04/1997,"[28, 13, 34, 2, 8, 54]",59
27/04/1997,"[38, 14, 21, 15, 3, 20]",60
04/05/1997,"[59, 8, 18, 29, 42, 44]",61
11/05/1997,"[52, 13, 6, 24, 8, 31]",62
18/05/1997,"[26, 9, 41, 49, 25, 40]",63
25/05/1997,"[8, 54, 50, 60, 23, 12]",64
01/06/1997,"[20, 1, 5, 32, 25, 34]",65
